stratum,repo,prA,prB,agentA,agentB,label,n_files,files,types
cross,ar-io/ar-io-node,398,426,OpenAI_Codex,Claude_Code,CLEAN,0,,
cross,oven-sh/bun,19743,20217,OpenAI_Codex,Cursor,CLEAN,0,,
cross,odigos-io/odigos,2962,3049,OpenAI_Codex,Cursor,CONFLICT,8,instrumentor/controllers/agentenabled/instrumentationconfig_controller.go|instrumentor/controllers/agentenabled/pods_webhook.go|instrumentor/controllers/agentenabled/rollout/rollout.go|instrumentor/controllers/agentenabled/sync.go|instrumentor/controllers/sourceinstrumentation/instrumentedapp_migration_controller.go|instrumentor/instrumentor.go|instrumentor/runtimemigration/runtimemigration.go|instrumentor/runtimemigration/utils.go,content|content|content|content|modify/delete|content|modify/delete|modify/delete
cross,openfga/openfga,2563,2565,Copilot,OpenAI_Codex,CONFLICT,3,cmd/migrate/flags.go|cmd/migrate/migrate.go|pkg/storage/migrate/migrate.go,content|content|content
cross,gtg922r/obsidian-numerals,100,102,OpenAI_Codex,Copilot,CLEAN,0,,
cross,jdx/mise,5638,5828,Cursor,Claude_Code,CONFLICT,1,src/cli/tool_stub.rs,content
cross,coder/coder,18587,18634,Devin,OpenAI_Codex,CLEAN,0,,
cross,get-convex/convex-helpers,516,600,Devin,OpenAI_Codex,CONFLICT,2,package-lock.json|packages/convex-helpers/package.json,content|content
cross,langbot-app/LangBot,1407,1514,Devin,Cursor,CLEAN,0,,
cross,risingwavelabs/risingwave,21925,22637,Cursor,Copilot,CLEAN,0,,
cross,quarylabs/sqruff,1643,1664,OpenAI_Codex,Claude_Code,CONFLICT,6,crates/lib-dialects/src/tsql.rs|crates/lib-dialects/src/tsql_keywords.rs|crates/lib-dialects/test/fixtures/dialects/tsql/data_types_max.sql|crates/lib-dialects/test/fixtures/dialects/tsql/data_types_max.yml|crates/lib/test/fixtures/rules/std_rule_cases/AL07.yml|crates/lib/test/fixtures/rules/std_rule_cases/LT02-indent.yml,add/add|add/add|add/add|add/add|content|content
cross,formbricks/formbricks,6082,6085,Devin,Cursor,CLEAN,0,,
cross,elsa-workflows/elsa-studio,521,526,Copilot,OpenAI_Codex,CONFLICT,3,Directory.Build.props|Directory.Packages.props|src/modules/Elsa.Studio.Agents/Elsa.Studio.Agents.csproj,content|content|modify/delete
cross,shiosyakeyakini-info/miria,750,764,OpenAI_Codex,Copilot,CONFLICT,4,lib/l10n/app_ja-oj.arb|lib/l10n/app_ja.arb|lib/l10n/app_zh-cn.arb|lib/l10n/app_zh.arb,content|content|content|content
cross,sgb-io/fta,236,237,OpenAI_Codex,Copilot,CLEAN,0,,
cross,microsoft/vscode,249711,252589,Copilot,OpenAI_Codex,UNAVAIL_nobase,0,,
cross,vllm-project/vllm,18317,19396,OpenAI_Codex,Claude_Code,CONFLICT,1,docs/design/arch_overview.md,content
cross,langfuse/langfuse,7352,7354,Cursor,OpenAI_Codex,CLEAN,0,,
cross,exa-labs/exa-py,81,99,OpenAI_Codex,Cursor,CONFLICT,1,exa_py/api.py,content
cross,Sls0n/Prismify,39,42,OpenAI_Codex,Cursor,CONFLICT,1,components/settings-dialog.tsx,content
cross,567-labs/instructor,1636,1650,Cursor,OpenAI_Codex,CLEAN,0,,
cross,Significant-Gravitas/AutoGPT,9958,10340,OpenAI_Codex,Claude_Code,CONFLICT,235,.github/workflows/claude.yml|.github/workflows/platform-backend-ci.yml|.github/workflows/platform-frontend-ci.yml|.pre-commit-config.yaml|README.md|autogpt_platform/CLAUDE.md|autogpt_platform/README.md|autogpt_platform/autogpt_libs/autogpt_libs/auth/middleware.py|autogpt_platform/autogpt_libs/poetry.lock|autogpt_platform/autogpt_libs/pyproject.toml|autogpt_platform/backend/.env.default|autogpt_platform/backend/TESTING.md|autogpt_platform/backend/backend/blocks/agent.py|autogpt_platform/backend/backend/blocks/discord.py|autogpt_platform/backend/backend/blocks/exa/_webhook.py|autogpt_platform/backend/backend/blocks/exa/answers.py|autogpt_platform/backend/backend/blocks/exa/helpers.py|autogpt_platform/backend/backend/blocks/exa/search.py|autogpt_platform/backend/backend/blocks/exa/similar.py|autogpt_platform/backend/backend/blocks/exa/webhook_blocks.py|autogpt_platform/backend/backend/blocks/exa/websets.py|autogpt_platform/backend/backend/blocks/generic_webhook/_webhook.py|autogpt_platform/backend/backend/blocks/google/gmail.py|autogpt_platform/backend/backend/blocks/google/sheets.py|autogpt_platform/backend/backend/blocks/ideogram.py|autogpt_platform/backend/backend/blocks/linear/_config.py|autogpt_platform/backend/backend/blocks/linear/comment.py|autogpt_platform/backend/backend/blocks/linear/issues.py|autogpt_platform/backend/backend/blocks/linear/projects.py|autogpt_platform/backend/backend/blocks/llm.py|autogpt_platform/backend/backend/blocks/persistence.py|autogpt_platform/backend/backend/blocks/replicate/flux_advanced.py|autogpt_platform/backend/backend/blocks/smart_decision_maker.py|autogpt_platform/backend/backend/blocks/test/test_smart_decision_maker.py|autogpt_platform/backend/backend/blocks/time_blocks.py|autogpt_platform/backend/backend/data/__init__.py|autogpt_platform/backend/backend/data/block.py|autogpt_platform/backend/backend/data/block_cost_config.py|autogpt_platform/backend/backend/data/execution.py|autogpt_platform/backend/backend/data/graph.py|autogpt_platform/backend/backend/data/includes.py|autogpt_platform/backend/backend/data/integrations.py|autogpt_platform/backend/backend/data/model.py|autogpt_platform/backend/backend/data/notifications.py|autogpt_platform/backend/backend/data/onboarding.py|autogpt_platform/backend/backend/data/user.py|autogpt_platform/backend/backend/executor/database.py|autogpt_platform/backend/backend/executor/manager.py|autogpt_platform/backend/backend/executor/scheduler.py|autogpt_platform/backend/backend/executor/utils.py|autogpt_platform/backend/backend/integrations/credentials_store.py|autogpt_platform/backend/backend/integrations/creds_manager.py|autogpt_platform/backend/backend/integrations/oauth/__init__.py|autogpt_platform/backend/backend/integrations/webhooks/graph_lifecycle_hooks.py|autogpt_platform/backend/backend/monitoring/block_error_monitor.py|autogpt_platform/backend/backend/monitoring/late_execution_monitor.py|autogpt_platform/backend/backend/monitoring/notification_monitor.py|autogpt_platform/backend/backend/notifications/notifications.py|autogpt_platform/backend/backend/sdk/__init__.py|autogpt_platform/backend/backend/sdk/builder.py|autogpt_platform/backend/backend/sdk/cost_integration.py|autogpt_platform/backend/backend/sdk/provider.py|autogpt_platform/backend/backend/sdk/registry.py|autogpt_platform/backend/backend/server/conftest.py|autogpt_platform/backend/backend/server/integrations/models.py|autogpt_platform/backend/backend/server/integrations/router.py|autogpt_platform/backend/backend/server/model.py|autogpt_platform/backend/backend/server/rest_api.py|autogpt_platform/backend/backend/server/routers/analytics.py|autogpt_platform/backend/backend/server/routers/analytics_improved_test.py|autogpt_platform/backend/backend/server/routers/analytics_parametrized_test.py|autogpt_platform/backend/backend/server/routers/analytics_test.py|autogpt_platform/backend/backend/server/routers/postmark/postmark.py|autogpt_platform/backend/backend/server/routers/v1.py|autogpt_platform/backend/backend/server/routers/v1_test.py|autogpt_platform/backend/backend/server/v2/admin/credit_admin_routes_test.py|autogpt_platform/backend/backend/server/v2/library/db.py|autogpt_platform/backend/backend/server/v2/library/db_test.py|autogpt_platform/backend/backend/server/v2/library/model.py|autogpt_platform/backend/backend/server/v2/library/routes/agents.py|autogpt_platform/backend/backend/server/v2/library/routes/presets.py|autogpt_platform/backend/backend/server/v2/library/routes_test.py|autogpt_platform/backend/backend/server/v2/otto/routes.py|autogpt_platform/backend/backend/server/v2/otto/routes_test.py|autogpt_platform/backend/backend/server/v2/store/db.py|autogpt_platform/backend/backend/server/v2/store/image_gen.py|autogpt_platform/backend/backend/server/v2/store/media.py|autogpt_platform/backend/backend/server/v2/store/media_test.py|autogpt_platform/backend/backend/server/v2/store/routes_test.py|autogpt_platform/backend/backend/util/cloud_storage.py|autogpt_platform/backend/backend/util/decorator.py|autogpt_platform/backend/backend/util/decorator_test.py|autogpt_platform/backend/backend/util/metrics.py|autogpt_platform/backend/backend/util/retry.py|autogpt_platform/backend/backend/util/service.py|autogpt_platform/backend/backend/util/service_test.py|autogpt_platform/backend/backend/util/settings.py|autogpt_platform/backend/poetry.lock|autogpt_platform/backend/pyproject.toml|autogpt_platform/backend/schema.prisma|autogpt_platform/backend/snapshots/agt_details|autogpt_platform/backend/snapshots/grph_single|autogpt_platform/backend/snapshots/grphs_all|autogpt_platform/backend/snapshots/lib_agts_search|autogpt_platform/backend/snapshots/sub_success|autogpt_platform/backend/test/__init__.py|autogpt_platform/backend/test/blocks/test_gmail.py|autogpt_platform/backend/test/e2e_test_data.py|autogpt_platform/backend/test/sdk/test_sdk_patching.py|autogpt_platform/backend/test/sdk/test_sdk_registry.py|autogpt_platform/backend/test/sdk/test_sdk_webhooks.py|autogpt_platform/docker-compose.platform.yml|autogpt_platform/docker-compose.yml|autogpt_platform/frontend/.env.example|autogpt_platform/frontend/.gitignore|autogpt_platform/frontend/Dockerfile|autogpt_platform/frontend/README.md|autogpt_platform/frontend/instrumentation-client.ts|autogpt_platform/frontend/orval.config.ts|autogpt_platform/frontend/package.json|autogpt_platform/frontend/playwright.config.ts|autogpt_platform/frontend/pnpm-lock.yaml|autogpt_platform/frontend/sentry.edge.config.ts|autogpt_platform/frontend/sentry.server.config.ts|autogpt_platform/frontend/src/app/(no-navbar)/onboarding/5-run/page.tsx|autogpt_platform/frontend/src/app/(platform)/library/agents/[id]/components/AgentRunsView/components/CredentialsInputs/CredentialsInputs.tsx|autogpt_platform/frontend/src/app/(platform)/library/agents/[id]/components/OldAgentLibraryView/components/agent-run-details-view.tsx|autogpt_platform/frontend/src/app/(platform)/library/agents/[id]/components/OldAgentLibraryView/components/agent-schedule-details-view.tsx|autogpt_platform/frontend/src/app/(platform)/library/agents/[id]/components/OldAgentLibraryView/components/agent-status-chip.tsx|autogpt_platform/frontend/src/app/(platform)/library/agents/[id]/page.tsx|autogpt_platform/frontend/src/app/(platform)/library/components/LibraryActionSubHeader/LibraryActionSubHeader.tsx|autogpt_platform/frontend/src/app/(platform)/library/components/LibraryAgentList/LibraryAgentList.tsx|autogpt_platform/frontend/src/app/(platform)/library/components/LibraryAgentList/useLibraryAgentList.ts|autogpt_platform/frontend/src/app/(platform)/library/components/LibrarySearchBar/LibrarySearchBar.tsx|autogpt_platform/frontend/src/app/(platform)/library/components/LibraryUploadAgentDialog/LibraryUploadAgentDialog.tsx|autogpt_platform/frontend/src/app/(platform)/library/components/LibraryUploadAgentDialog/useLibraryUploadAgentDialog.ts|autogpt_platform/frontend/src/app/(platform)/library/page.tsx|autogpt_platform/frontend/src/app/(platform)/login/page.tsx|autogpt_platform/frontend/src/app/(platform)/login/useLoginPage.ts|autogpt_platform/frontend/src/app/(platform)/marketplace/agent/[creator]/[slug]/page.tsx|autogpt_platform/frontend/src/app/(platform)/marketplace/creator/[creator]/page.tsx|autogpt_platform/frontend/src/app/(platform)/marketplace/page.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/api_keys/components/APIKeySection/APIKeySection.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/dashboard/components/AgentTable/AgentTable.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/dashboard/components/AgentTableCard/AgentTableCard.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/dashboard/components/AgentTableRow/AgentTableRow.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/dashboard/components/AgentTableRow/useAgentTableRow.ts|autogpt_platform/frontend/src/app/(platform)/profile/(user)/dashboard/components/MainDashboardPage/MainDashboardPage.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/dashboard/components/MainDashboardPage/useMainDashboardPage.ts|autogpt_platform/frontend/src/app/(platform)/profile/(user)/integrations/page.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/settings/actions.ts|autogpt_platform/frontend/src/app/(platform)/profile/(user)/settings/components/SettingsForm/SettingsForm.tsx|autogpt_platform/frontend/src/app/(platform)/profile/(user)/settings/page.tsx|autogpt_platform/frontend/src/app/(platform)/reset-password/page.tsx|autogpt_platform/frontend/src/app/(platform)/signup/page.tsx|autogpt_platform/frontend/src/app/(platform)/signup/useSignupPage.ts|autogpt_platform/frontend/src/app/api/mutators/custom-mutator.ts|autogpt_platform/frontend/src/app/api/openapi.json|autogpt_platform/frontend/src/app/api/proxy/[...path]/route.ts|autogpt_platform/frontend/src/app/providers.tsx|autogpt_platform/frontend/src/components/Flow.tsx|autogpt_platform/frontend/src/components/PrimaryActionButton.tsx|autogpt_platform/frontend/src/components/RunnerUIWrapper.tsx|autogpt_platform/frontend/src/components/admin/spending/add-money-button.tsx|autogpt_platform/frontend/src/components/agents/agent-run-draft-view.tsx|autogpt_platform/frontend/src/components/agents/agent-run-summary-card.tsx|autogpt_platform/frontend/src/components/agents/agent-runs-selector-list.tsx|autogpt_platform/frontend/src/components/agptui/AgentInfo.tsx|autogpt_platform/frontend/src/components/agptui/BreadCrumbs.tsx|autogpt_platform/frontend/src/components/agptui/PublishAgentAwaitingReview.tsx|autogpt_platform/frontend/src/components/agptui/PublishAgentSelect.tsx|autogpt_platform/frontend/src/components/agptui/PublishAgentSelectInfo.tsx|autogpt_platform/frontend/src/components/agptui/composite/PublishAgentPopout.tsx|autogpt_platform/frontend/src/components/atoms/Badge/Badge.tsx|autogpt_platform/frontend/src/components/atoms/Input/Input.stories.tsx|autogpt_platform/frontend/src/components/atoms/Input/Input.tsx|autogpt_platform/frontend/src/components/atoms/Input/useInput.ts|autogpt_platform/frontend/src/components/atoms/Text/Text.tsx|autogpt_platform/frontend/src/components/atoms/Text/helpers.ts|autogpt_platform/frontend/src/components/auth/Turnstile.tsx|autogpt_platform/frontend/src/components/cron-scheduler-dialog.tsx|autogpt_platform/frontend/src/components/cron-scheduler.tsx|autogpt_platform/frontend/src/components/edit/control/BlocksControl.tsx|autogpt_platform/frontend/src/components/edit/control/SaveControl.tsx|autogpt_platform/frontend/src/components/integrations/credentials-provider.tsx|autogpt_platform/frontend/src/components/layout/Navbar/Navbar.tsx|autogpt_platform/frontend/src/components/layout/Navbar/components/AccountMenu/AccountMenu.tsx|autogpt_platform/frontend/src/components/layout/Navbar/components/MobileNavbar/MobileNavBar.tsx|autogpt_platform/frontend/src/components/layout/Navbar/components/MobileNavbar/components/MobileNavbarMenuItem.tsx|autogpt_platform/frontend/src/components/layout/Navbar/components/NavbarLink.tsx|autogpt_platform/frontend/src/components/layout/Navbar/helpers.tsx|autogpt_platform/frontend/src/components/molecules/Dialog/Dialog.stories.tsx|autogpt_platform/frontend/src/components/molecules/Dialog/components/BaseFooter.tsx|autogpt_platform/frontend/src/components/molecules/Dialog/components/BaseTrigger.tsx|autogpt_platform/frontend/src/components/molecules/Dialog/components/DialogWrap.tsx|autogpt_platform/frontend/src/components/molecules/Dialog/components/DrawerWrap.tsx|autogpt_platform/frontend/src/components/molecules/Dialog/components/styles.ts|autogpt_platform/frontend/src/components/monitor/scheduleTable.tsx|autogpt_platform/frontend/src/components/onboarding/onboarding-provider.tsx|autogpt_platform/frontend/src/components/runner-ui/RunnerInputUI.tsx|autogpt_platform/frontend/src/components/runner-ui/RunnerOutputUI.tsx|autogpt_platform/frontend/src/components/type-based-input.tsx|autogpt_platform/frontend/src/components/ui/scroll-area.tsx|autogpt_platform/frontend/src/hooks/useAgentGraph.tsx|autogpt_platform/frontend/src/hooks/useCopyPaste.ts|autogpt_platform/frontend/src/hooks/useCredentials.ts|autogpt_platform/frontend/src/hooks/useTurnstile.ts|autogpt_platform/frontend/src/lib/autogpt-server-api/client.ts|autogpt_platform/frontend/src/lib/autogpt-server-api/context.tsx|autogpt_platform/frontend/src/lib/autogpt-server-api/helpers.ts|autogpt_platform/frontend/src/lib/autogpt-server-api/types.ts|autogpt_platform/frontend/src/lib/cron-expression-utils.ts|autogpt_platform/frontend/src/lib/supabase/helpers.ts|autogpt_platform/frontend/src/lib/supabase/hooks/useSupabase.ts|autogpt_platform/frontend/src/lib/supabase/middleware.ts|autogpt_platform/frontend/src/lib/supabase/server/getServerSupabase.ts|autogpt_platform/frontend/src/lib/utils.ts|autogpt_platform/frontend/src/tests/build.spec.ts|autogpt_platform/frontend/src/tests/credentials/index.ts|autogpt_platform/frontend/src/tests/global-setup.ts|autogpt_platform/frontend/src/tests/monitor.spec.ts|autogpt_platform/frontend/src/tests/pages/build.page.ts|autogpt_platform/frontend/src/tests/pages/library.page.ts|autogpt_platform/frontend/src/tests/pages/login.page.ts|autogpt_platform/frontend/src/tests/signin.spec.ts|autogpt_platform/frontend/src/tests/utils/assertion.ts|autogpt_platform/frontend/src/tests/utils/auth.ts|autogpt_platform/frontend/tailwind.config.ts|autogpt_platform/installer/setup-autogpt.bat|autogpt_platform/installer/setup-autogpt.sh|docs/content/index.md|docs/content/platform/getting-started.md|docs/content/platform/new_blocks.md|docs/content/platform/ollama.md|docs/mkdocs.yml,add/add|content|content|content|content|add/add|content|modify/delete|content|content|content|add/add|content|modify/delete|add/add|add/add|content|content|content|add/add|add/add|content|content|content|content|content|content|content|content|content|add/add|content|content|content|content|add/add|content|content|content|content|content|content|content|content|content|content|content|content|content|content|content|content|content|content|add/add|add/add|add/add|content|add/add|add/add|add/add|add/add|add/add|add/add|add/add|content|content|content|content|add/add|add/add|add/add|content|content|add/add|add/add|content|content|content|content|content|content|content|add/add|content|content|content|content|content|add/add|content|add/add|content|content|content|rename/delete|add/add|content|content|content|content|add/add|add/add|add/add|add/add|add/add|modify/delete|add/add|add/add|add/add|add/add|add/add|content|content|modify/delete|content|content|content|content|add/add|content|content|add/add|content|content|content|content|content|content|file location|add/add|content|rename/delete|add/add|add/add|add/add|add/add|content|add/add|content|content|add/add|content|content|content|add/add|content|content|rename/delete|add/add|add/add|add/add|add/add|content|modify/delete|rename/delete|add/add|content|add/add|content|add/add|add/add|add/add|add/add|content|content|content|content|content|modify/delete|modify/delete|modify/delete|content|modify/delete|modify/delete|modify/delete|modify/delete|modify/delete|add/add|add/add|add/add|add/add|add/add|add/add|content|add/add|add/add|content|content|content|add/add|content|rename/delete|add/add|add/add|add/add|add/add|add/add|add/add|add/add|add/add|add/add|add/add|content|content|content|content|modify/delete|content|content|content|content|content|content|content|add/add|content|add/add|add/add|add/add|content|content|content|content|add/add|add/add|content|content|add/add|content|add/add|add/add|add/add|content|add/add|add/add|content|content|content|content|content
cross,514-labs/moose,2466,2499,Copilot,Cursor,CLEAN,0,,
cross,selfxyz/self,727,755,OpenAI_Codex,Cursor,CONFLICT,7,circuits/circuits/register_id/instances/register_id_sha256_sha256_sha224_ecdsa_secp224r1.circom|circuits/scripts/build/build_cpp.sh|contracts/ignition/modules/scripts/updateRegistryHubV2.ts|contracts/ignition/readme.md|contracts/scripts/constants.ts|contracts/scripts/setHubV2.ts|contracts/scripts/setVerifiersV2.ts,add/add|content|content|add/add|add/add|content|content
cross,open-metadata/OpenMetadata,21940,22304,Cursor,Copilot,UNAVAIL_fetch,0,,
cross,HumanSignal/label-studio,7687,7850,OpenAI_Codex,Cursor,CONFLICT,1,label_studio/data_import/uploader.py,content
cross,bruin-data/bruin,760,818,OpenAI_Codex,Cursor,CONFLICT,1,pkg/pipeline/pipeline.go,content
cross,promptfoo/promptfoo,2956,4050,Devin,OpenAI_Codex,UNAVAIL_nobase,0,,
cross,different-ai/note-companion,406,407,Devin,OpenAI_Codex,CLEAN,0,,
cross,assistant-ui/assistant-ui,2124,2125,OpenAI_Codex,Devin,CLEAN,0,,
cross,estruyf/vscode-demo-time,147,157,OpenAI_Codex,Copilot,CONFLICT,2,src/preview/components/MarkdownPreview.tsx|src/preview/components/SlideControls.tsx,content|content
cross,langfuse/langfuse-docs,1505,1535,Devin,OpenAI_Codex,CONFLICT,2,pages/docs/scores/data-model.mdx|pages/docs/tracing-data-model.mdx,content|content
cross,BerriAI/litellm,13110,13122,Cursor,OpenAI_Codex,CLEAN,0,,
cross,bruin-data/ingestr,251,299,OpenAI_Codex,Cursor,CONFLICT,3,ingestr/src/factory.py|requirements.txt|requirements_arm64.txt,content|content|content
cross,unsend-dev/unsend,170,189,OpenAI_Codex,Copilot,CLEAN,0,,
cross,Helicone/helicone,3875,4046,OpenAI_Codex,Cursor,CLEAN,0,,
cross,moonbitlang/core,2267,2422,OpenAI_Codex,Cursor,CONFLICT,2,json/parse_test.mbt|json/utils.mbt,content|content
cross,AgentOps-AI/agentops,1064,1065,Devin,OpenAI_Codex,CLEAN,0,,
cross,dcSpark/shinkai-local-ai-agents,901,902,OpenAI_Codex,Devin,CLEAN,0,,
cross,MervinPraison/PraisonAI,984,1021,Copilot,Claude_Code,CLEAN,0,,
cross,vltpkg/vltpkg,851,852,Copilot,Cursor,CLEAN,0,,
cross,ai-shifu/ai-shifu,465,475,OpenAI_Codex,Devin,CLEAN,0,,
cross,unclecode/crawl4ai,1124,1152,OpenAI_Codex,Devin,CLEAN,0,,
cross,zuplo/zudoku,1114,1115,Copilot,OpenAI_Codex,CLEAN,0,,
cross,elizaOS/eliza,5565,5572,Claude_Code,Cursor,CLEAN,0,,
cross,liam-hq/liam,1599,1610,Devin,Claude_Code,CLEAN,0,,
cross,giselles-ai/giselle,870,902,OpenAI_Codex,Copilot,CLEAN,0,,
cross,wvlet/wvlet,967,980,Copilot,Claude_Code,CLEAN,0,,
cross,mendableai/firecrawl,1420,1742,Devin,Cursor,CLEAN,0,,
cross,aipotheosis-labs/aci,520,549,Cursor,OpenAI_Codex,CLEAN,0,,
cross,browser-use/browser-use,2159,2166,Cursor,OpenAI_Codex,CLEAN,0,,
cross,microsoft/fabric-cicd,342,343,Copilot,OpenAI_Codex,CLEAN,0,,
cross,CapSoftware/Cap,559,717,OpenAI_Codex,Copilot,CLEAN,0,,
cross,onlook-dev/onlook,1849,2041,Devin,OpenAI_Codex,CONFLICT,3,apps/web/client/.env.example|apps/web/client/src/app/api/chat/route.ts|bun.lockb,content|content|add/add
cross,567-labs/kura,69,75,Devin,OpenAI_Codex,CONFLICT,1,docs/index.md,content
cross,different-ai/zero-finance,116,117,OpenAI_Codex,Devin,CLEAN,0,,
cross,berachain/beacon-kit,2840,2841,Cursor,OpenAI_Codex,CONFLICT,5,node-api/handlers/proof/merkle/generalized_indexes.go|node-api/handlers/proof/merkle/validator_balance.go|node-api/handlers/proof/types/request.go|node-api/handlers/proof/types/response.go|node-api/handlers/proof/validator_balance.go,content|add/add|content|content|add/add
cross,willccbb/verifiers,147,160,Claude_Code,Cursor,CONFLICT,1,verifiers/envs/tool_env.py,content
cross,gensx-inc/gensx,736,766,OpenAI_Codex,Cursor,CONFLICT,1,website/home/app/page.tsx,content
cross,nodetool-ai/nodetool,86,157,OpenAI_Codex,Cursor,CONFLICT,2,.github/workflows/test.yml|web/jest.config.ts,content|content
cross,antiwork/flexile,394,584,Devin,OpenAI_Codex,UNAVAIL_fetch,0,,
cross,codegen-sh/codegen,1164,1168,Cursor,Devin,CLEAN,0,,
